id_transaccion,comercio,fecha,monto,categoria_comercio,edad_cliente,metodo_pago,es_fraude
L2-000001,AutoRepuestos,2025-08-04,55.84, Deportes,33.0,Tarjeta Debito,0
L2-000002,AutoRepuestos,2025-09-02,120.2, Retail,54.0,Transferencia_Bancaria,0
L2-000003,TiendaExpress,2025-08-18,97.37,,44.0,Tarjeta Debito,0
L2-000004,LibreriaCentral,2025-11-21,92.79,Hogar,43.0,Transferencia_Bancaria,0
L2-000005,LibreriaCentral,2025-08-08,5325.92,Tecnología,32.0,TRANSFERENCIA,0
L2-000006,TiendaExpress,2025-11-06,99.09,Hogar,45.0,EFECTIVO.,0
L2-000007,LibreriaCentral,2025-07-29,115.12, Deportes,55.0,Tarjeta Credito,0
L2-000008,SuperMax,2025-12-29,2118.37, Retail,37.0,Efectivo,1
L2-000009,FarmaVida,2025-12-29,100.73,Moda,53.0,Tarjeta_Credito,0
L2-000010,FarmaVida,2025-07-18,47.15,MODA.,47.0,Tarjeta_Debito,0
L2-000011,TecnoCenter,2025-09-28,136.02,alimentos_,18.0,Efectivo,0
L2-000012,ModaViva,2025-10-13,91.37,Alimentos ,32.0,Transferencia,0
L2-000013,GourmetPlus,2025-08-05,72.59,Retail_,27.0,Tarjeta_Debito,0
L2-000014,AutoRepuestos,2025-08-10,,HOGAR_,26.0,EFECTIVO.,0
L2-000015,AutoRepuestos,2025-08-23,40.91,Tecnologia,21.0,EFECTIVO.,0
L2-000016,SuperMax,2025-08-17,109.72,MODA.,38.0,Efectivo,0
L2-000017,SuperMax,2025-12-10,86.79,Hogar ,36.0,Efectivo,0
L2-000018,ModaViva,2025-09-29,114.18,Tecnología,36.0,TRANSFERENCIA,0
L2-000019,ModaViva,2025-12-03,60.55,TECNOLOGIA,30.0,TARJETA DEBITO,0
L2-000020,DeportesTotal,2025-11-23,64.98,Deportes,44.0,Transferencia,0
L2-000021,TiendaExpress,2025-12-03,7919.94,Tecnología,54.0,Transferencia_Bancaria,0
L2-000022,HogarFacil,2025-12-05,125.43,Tecnologia,41.0,Transferencia,0
L2-000023,TecnoCenter,2025-09-10,34.35,TECNOLOGIA,48.0,Tarjeta Credito,0
